ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=product manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102748797}]}}, facets={}}",1741527581
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=growth, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103977389}]}}, facets={salariesV2={selectedValues=[USD_140000]}}}",1738538429
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=conversion rate, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={}}",1738538397
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=experiment, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={salariesV2={selectedValues=[USD_140000]}}}",1738538381
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, spellCheckEnabled=true, keywords=product analytics, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}], selectedValues=[{com.linkedin.common.TimeSpan={duration=86400, unit=SECOND}}]}, experienceLevels={selectedValues=[ASSOCIATE, MID_SENIOR_LEVEL]}}}",1726178330
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=strategy manager, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104116203}]}}, facets={}}",1723561717
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=operations, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={}}",1723540085
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=strategy, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={}}",1723540077
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=product marketing, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={}}",1723540069
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=growth, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={}}",1723540061
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=digital experience, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={}}",1723540053
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=growth product, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={}}",1723352370
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=product manager, workflowContext={savedSearch=urn:li:savedSearch:1586330953}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:106758460}]}}, facets={}}",1586330953
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=senior product manager, workflowContext={savedSearch=urn:li:savedSearch:1586319103}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104116203}]}}, facets={}}",1586319103
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=product manager, workflowContext={savedSearch=urn:li:savedSearch:1586291843}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:106233382}]}}, facets={}}",1586291843
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=product manager, workflowContext={savedSearch=urn:li:savedSearch:1540644383}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:90000070}]}}, facets={}}",1540644383
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=product manager, workflowContext={savedSearch=urn:li:savedSearch:1535718383}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102250832}]}}, facets={}}",1535718383
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=senior manager analytics, workflowContext={savedSearch=urn:li:savedSearch:1502260513}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:90000070}]}}, facets={}}",1502260513
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=product manager, workflowContext={savedSearch=urn:li:savedSearch:1502258473}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102571732}]}}, facets={}}",1502258473
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=product manager, workflowContext={savedSearch=urn:li:savedSearch:758320826}, searchLocation={com.linkedin.jobs.matching.WorldwideSearchLocation={}}, facets={}}",758320826
